ROCZNIKI URODZENIA;Ogółem;Mężczyźni;Kobiety ;;;;;;
POLSKA                        ;37698294;18214389;19483905;;;;;;
2023 - 2019                   ;1497930;768333;729597;;;;;;
2023                          ;133791;68409;65382;;;;;;
2022                          ;304199;155914;148285;;;;;;
2021                          ;334268;171515;162753;;;;;;
2020                          ;350151;179625;170526;;;;;;
2019                          ;375521;192870;182651;;;;;;
2018 - 2014                   ;1982207;1018170;964037;;;;;;
2018                          ;393720;202607;191113;;;;;;
2017                          ;412372;211696;200676;;;;;;
2016                          ;396546;203588;192958;;;;;;
2015                          ;388237;199401;188836;;;;;;
2014                          ;391332;200878;190454;;;;;;
2013 - 2009                   ;2050728;1053105;997623;;;;;;
2013                          ;384435;197301;187134;;;;;;
2012                          ;403915;207690;196225;;;;;;
2011                          ;403557;207516;196041;;;;;;
2010                          ;427367;219667;207700;;;;;;
2009                          ;431454;220931;210523;;;;;;
2008 - 2004                   ;1909617;978522;931095;;;;;;
2008                          ;425528;217833;207695;;;;;;
2007                          ;396719;203285;193434;;;;;;
2006                          ;376150;192820;183330;;;;;;
2005                          ;361752;185300;176452;;;;;;
2004                          ;349468;179284;170184;;;;;;
2003 - 1999                   ;1787344;911950;875394;;;;;;
2003                          ;342596;175092;167504;;;;;;
2002                          ;346557;177232;169325;;;;;;
2001                          ;358568;183057;175511;;;;;;
2000                          ;368148;187485;180663;;;;;;
1999                          ;371475;189084;182391;;;;;;
1998 - 1994                   ;2083412;1059036;1024376;;;;;;
1998                          ;382957;195321;187636;;;;;;
1997                          ;399710;203410;196300;;;;;;
1996                          ;416181;211987;204194;;;;;;
1995                          ;428548;217398;211150;;;;;;
1994                          ;456016;230920;225096;;;;;;
1993 - 1989                   ;2574659;1308281;1266378;;;;;;
1993                          ;475585;241645;233940;;;;;;
1992                          ;494743;251191;243552;;;;;;
1991                          ;525198;267284;257914;;;;;;
1990                          ;537698;273182;264516;;;;;;
1989                          ;541435;274979;266456;;;;;;
1988 - 1984                   ;2992455;1515334;1477121;;;;;;
